RT(milliseconds),RT(minutes) - NOT USED BY IMPORT,RI,TIC
49,8.166666666666667E-4,0.0,0.0
99,0.00165,0.0,0.0
149,0.0024833333333333335,0.0,0.0
199,0.0033166666666666665,0.0,0.0
249,0.00415,0.0,15.549184
299,0.0049833333333333335,0.0,19.9773
349,0.005816666666666667,0.0,0.0
399,0.00665,0.0,0.0
449,0.007483333333333333,0.0,0.0
499,0.008316666666666667,0.0,46.828117
549,0.00915,0.0,44.038486
599,0.009983333333333334,0.0,7.134123
649,0.010816666666666667,0.0,11.92704
699,0.01165,0.0,28.310955
749,0.012483333333333334,0.0,45.121193
799,0.013316666666666666,0.0,35.86338
849,0.01415,0.0,9.251072
899,0.014983333333333333,0.0,0.0
949,0.015816666666666666,0.0,0.0
999,0.01665,0.0,0.0
1049,0.017483333333333333,0.0,0.0
1099,0.018316666666666665,0.0,0.0
1149,0.01915,0.0,0.0
1199,0.019983333333333332,0.0,0.0
1249,0.020816666666666667,0.0,0.0
1299,0.02165,0.0,0.0
1349,0.022483333333333334,0.0,0.0
1399,0.023316666666666666,0.0,0.0
1449,0.02415,0.0,0.0
1499,0.024983333333333333,0.0,0.0
1549,0.02581666666666667,0.0,10.947157
1599,0.02665,0.0,18.235819
1649,0.027483333333333332,0.0,0.0
1699,0.028316666666666667,0.0,0.0
1749,0.02915,0.0,0.0
1799,0.029983333333333334,0.0,0.0
1849,0.030816666666666666,0.0,0.0
1899,0.03165,0.0,0.0
1949,0.032483333333333336,0.0,0.0
1999,0.03331666666666667,0.0,49.267883
2049,0.03415,0.0,63.007744
2099,0.03498333333333333,0.0,9.444523
2149,0.03581666666666666,0.0,0.0
2199,0.03665,0.0,0.0
2249,0.037483333333333334,0.0,0.0
2299,0.038316666666666666,0.0,0.0
2349,0.03915,0.0,0.0
2399,0.039983333333333336,0.0,0.0
2449,0.04081666666666667,0.0,0.0
2499,0.04165,0.0,6.730496
2549,0.04248333333333333,0.0,0.0
2599,0.04331666666666667,0.0,0.0
2649,0.04415,0.0,0.0
2699,0.044983333333333334,0.0,1.853184
2749,0.045816666666666665,0.0,29.612629
2799,0.04665,0.0,0.0
2849,0.047483333333333336,0.0,0.0
2899,0.04831666666666667,0.0,9.868032
2949,0.04915,0.0,14.459819
2999,0.04998333333333333,0.0,6.6497707
3049,0.05081666666666667,0.0,0.0
3099,0.05165,0.0,3.0137174
3149,0.05248333333333333,0.0,18.424662
3199,0.053316666666666665,0.0,47.411625
3249,0.05415,0.0,20.97502
3299,0.054983333333333335,0.0,8.078848
3349,0.05581666666666667,0.0,0.0
3399,0.05665,0.0,0.0
3449,0.05748333333333333,0.0,0.0
3499,0.05831666666666667,0.0,0.0
3549,0.05915,0.0,0.0
3599,0.05998333333333333,0.0,0.0
3649,0.060816666666666665,0.0,0.0
3699,0.06165,0.0,0.0
3749,0.062483333333333335,0.0,0.0
3799,0.06331666666666666,0.0,0.0
3849,0.06415,0.0,0.0
3899,0.06498333333333334,0.0,0.0
3949,0.06581666666666666,0.0,28.520363
3999,0.06665,0.0,0.0
4049,0.06748333333333334,0.0,0.0
4099,0.06831666666666666,0.0,0.0
4149,0.06915,0.0,14.365696
4199,0.06998333333333333,0.0,0.0
4249,0.07081666666666667,0.0,0.0
4299,0.07165,0.0,0.0
4349,0.07248333333333333,0.0,0.0
4399,0.07331666666666667,0.0,0.0
4449,0.07415,0.0,0.0
4499,0.07498333333333333,0.0,0.0
4549,0.07581666666666667,0.0,0.0
4599,0.07665,0.0,0.0
4649,0.07748333333333333,0.0,0.0
4699,0.07831666666666667,0.0,0.0
4749,0.07915,0.0,16.44928
4799,0.07998333333333334,0.0,5.492224
4849,0.08081666666666666,0.0,0.0
4899,0.08165,0.0,0.0
4949,0.08248333333333334,0.0,0.0
4999,0.08331666666666666,0.0,0.0
5049,0.08415,0.0,0.0
5099,0.08498333333333333,0.0,0.0
5149,0.08581666666666667,0.0,0.0
5199,0.08665,0.0,0.0
5249,0.08748333333333333,0.0,13.291008
5299,0.08831666666666667,0.0,14.812928
5349,0.08915,0.0,12.863573
5399,0.08998333333333333,0.0,5.7274027
5449,0.09081666666666667,0.0,7.159808
5499,0.09165,0.0,0.0
5549,0.09248333333333333,0.0,0.0
5599,0.09331666666666667,0.0,0.0
5649,0.09415,0.0,0.0
5699,0.09498333333333334,0.0,13.171712
5749,0.09581666666666666,0.0,0.0
5799,0.09665,0.0,0.0
5849,0.09748333333333334,0.0,0.0
5899,0.09831666666666666,0.0,0.0
5949,0.09915,0.0,0.0
5999,0.09998333333333333,0.0,0.0
6049,0.10081666666666667,0.0,0.0
6099,0.10165,0.0,0.0
6149,0.10248333333333333,0.0,0.0
6199,0.10331666666666667,0.0,0.0
6249,0.10415,0.0,0.0
6299,0.10498333333333333,0.0,0.0
6349,0.10581666666666667,0.0,0.0
6399,0.10665,0.0,0.0
6449,0.10748333333333333,0.0,0.0
6499,0.10831666666666667,0.0,0.0
6549,0.10915,0.0,0.0
6599,0.10998333333333334,0.0,0.0
6649,0.11081666666666666,0.0,0.0
6699,0.11165,0.0,0.0
6749,0.11248333333333334,0.0,0.0
6799,0.11331666666666666,0.0,0.0
6849,0.11415,0.0,13.087402
6899,0.11498333333333334,0.0,43.45805
6949,0.11581666666666666,0.0,46.570156
6999,0.11665,0.0,5.4574933
7049,0.11748333333333333,0.0,0.0
